Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,296.239990234375,300.6000061035156,295.19000244140625,300.3500061035156,299.6388854980469,33870100
2020-01-03,297.1499938964844,300.5799865722656,296.5,297.42999267578125,296.72576904296875,36580700
2020-01-06,293.7900085449219,299.9599914550781,292.75,299.79998779296875,299.09014892578125,29596800
2020-01-07,299.8399963378906,300.8999938964844,297.4800109863281,298.3900146484375,297.68353271484375,27218000
2020-01-08,297.1600036621094,304.44000244140625,297.1600036621094,303.19000244140625,302.4721374511719,33019800
2020-01-09,307.239990234375,310.42999267578125,306.20001220703125,309.6300048828125,308.89691162109375,42527100
2020-01-10,310.6000061035156,312.6700134277344,308.25,310.3299865722656,309.59521484375,35161200
2020-01-13,311.6400146484375,317.07000732421875,311.1499938964844,316.9599914550781,316.20953369140625,30383000
2020-01-14,316.70001220703125,317.57000732421875,312.1700134277344,312.67999267578125,311.9396667480469,40488600
2020-01-15,311.8500061035156,315.5,309.54998779296875,311.3399963378906,310.60284423828125,30480900
2020-01-16,313.5899963378906,315.70001220703125,312.0899963378906,315.239990234375,314.49359130859375,27207300
2020-01-17,316.2699890136719,318.739990234375,315.0,318.7300109863281,317.9753723144531,34454100
2020-01-21,317.19000244140625,319.0199890136719,316.0,316.57000732421875,315.8204650878906,27710800
2020-01-22,318.5799865722656,319.989990234375,317.30999755859375,317.70001220703125,316.94781494140625,25458100
2020-01-23,317.9200134277344,319.55999755859375,315.6499938964844,319.2300109863281,318.47418212890625,26118000
2020-01-24,320.25,323.3299865722656,317.5199890136719,318.30999755859375,317.55633544921875,36634400
2020-01-27,310.05999755859375,311.7699890136719,304.8800048828125,308.95001220703125,308.218505859375,40485000
2020-01-28,312.6000061035156,318.3999938964844,312.19000244140625,317.69000244140625,316.93780517578125,40558500
2020-01-29,324.45001220703125,327.8500061035156,321.3800048828125,324.3399963378906,323.5720520019531,54057300
2020-01-30,320.5400085449219,324.0899963378906,318.75,323.8699951171875,323.1031799316406,31685800
2020-01-31,320.92999267578125,322.67999267578125,308.2900085449219,309.510009765625,308.7771911621094,49897100
2020-02-03,304.29998779296875,313.489990234375,302.2200012207031,308.6600036621094,307.92919921875,43496400
2020-02-04,315.30999755859375,319.6400146484375,313.6300048828125,318.8500061035156,318.0950622558594,34154100
2020-02-05,323.5199890136719,324.760009765625,318.95001220703125,321.45001220703125,320.6889343261719,29706700
2020-02-06,322.57000732421875,325.2200012207031,320.260009765625,325.2099914550781,324.44000244140625,26356400
2020-02-07,322.3699951171875,323.3999938964844,318.0,320.0299987792969,320.0299987792969,29421000
2020-02-10,314.17999267578125,321.54998779296875,313.8500061035156,321.54998779296875,321.54998779296875,27337200
2020-02-11,323.6000061035156,323.8999938964844,318.7099914550781,319.6099853515625,319.6099853515625,23580800
2020-02-12,321.4700012207031,327.2200012207031,321.4700012207031,327.20001220703125,327.20001220703125,28432600
2020-02-13,324.19000244140625,326.2200012207031,323.3500061035156,324.8699951171875,324.8699951171875,23686900
2020-02-14,324.739990234375,325.9800109863281,322.8500061035156,324.95001220703125,324.95001220703125,20028400
2020-02-18,315.3599853515625,319.75,314.6099853515625,319.0,319.0,38132800
2020-02-19,320.0,324.57000732421875,320.0,323.6199951171875,323.6199951171875,23496000
2020-02-20,322.6300048828125,324.6499938964844,318.2099914550781,320.29998779296875,320.29998779296875,25141500
2020-02-21,318.6199951171875,320.45001220703125,310.5,313.04998779296875,313.04998779296875,32388500
2020-02-24,297.260009765625,304.17999267578125,289.2300109863281,298.17999267578125,298.17999267578125,55548800
2020-02-25,300.95001220703125,302.5299987792969,286.1300048828125,288.0799865722656,288.0799865722656,57668400
2020-02-26,286.5299987792969,297.8800048828125,286.5,292.6499938964844,292.6499938964844,49513700
2020-02-27,281.1000061035156,286.0,272.9599914550781,273.5199890136719,273.5199890136719,80151400
2020-02-28,257.260009765625,278.4100036621094,256.3699951171875,273.3599853515625,273.3599853515625,106721200
2020-03-02,282.2799987792969,301.44000244140625,277.7200012207031,298.80999755859375,298.80999755859375,85349300
2020-03-03,303.6700134277344,304.0,285.79998779296875,289.32000732421875,289.32000732421875,79868900
2020-03-04,296.44000244140625,303.3999938964844,293.1300048828125,302.739990234375,302.739990234375,54794600
2020-03-05,295.5199890136719,299.54998779296875,291.4100036621094,292.9200134277344,292.9200134277344,46893200
2020-03-06,282.0,290.82000732421875,281.2300109863281,289.0299987792969,289.0299987792969,56544200
2020-03-09,263.75,278.0899963378906,263.0,266.1700134277344,266.1700134277344,71686200
2020-03-10,277.1400146484375,286.44000244140625,269.3699951171875,285.3399963378906,285.3399963378906,71322500
2020-03-11,277.3900146484375,281.2200012207031,271.8599853515625,275.42999267578125,275.42999267578125,63899700
2020-03-12,255.94000244140625,270.0,248.0,248.22999572753906,248.22999572753906,104618500
2020-03-13,264.8900146484375,279.9200134277344,252.9499969482422,277.9700012207031,277.9700012207031,92683000
2020-03-16,241.9499969482422,259.0799865722656,240.0,242.2100067138672,242.2100067138672,80605900
2020-03-17,247.50999450683594,257.6099853515625,238.39999389648438,252.86000061035156,252.86000061035156,81014000
2020-03-18,239.77000427246094,250.0,237.1199951171875,246.6699981689453,246.6699981689453,75058400
2020-03-19,247.38999938964844,252.83999633789062,242.61000061035156,244.77999877929688,244.77999877929688,67964300
2020-03-20,247.17999267578125,251.8300018310547,228.0,229.24000549316406,229.24000549316406,100423300
2020-03-23,228.0800018310547,228.5,212.61000061035156,224.3699951171875,224.3699951171875,84188200
2020-03-24,236.36000061035156,247.69000244140625,234.3000030517578,246.8800048828125,246.8800048828125,71882800
2020-03-25,250.75,258.25,244.3000030517578,245.52000427246094,245.52000427246094,75900500
2020-03-26,246.52000427246094,258.67999267578125,246.36000061035156,258.44000244140625,258.44000244140625,63021800
2020-03-27,252.75,255.8699951171875,247.0500030517578,247.74000549316406,247.74000549316406,51054200
2020-03-30,250.74000549316406,255.52000427246094,249.39999389648438,254.80999755859375,254.80999755859375,41994100
2020-03-31,255.60000610351562,262.489990234375,252.0,254.2899932861328,254.2899932861328,49250500
2020-04-01,246.5,248.72000122070312,239.1300048828125,240.91000366210938,240.91000366210938,43956200
